X,Y,OBJECTID,Name,Address,City,State,Zipcode,Lat,Lon,GlobalID
-118.321815700234,34.0561033996522,42,LDK Senior Apartments,900 Crenshaw Blvd.,Los Angeles,CA,90019,34.0561034,-118.3218157,8ce79e77-5aa3-49ad-926c-7d8d72f09c40
-118.302471999783,34.0641669999072,43,LDK Senior Apartments - Studios,540 S. Kingsley Dr.,Los Angeles,CA,90020,34.064167,-118.302472,5b183fbd-f961-4bd9-abd2-6c301c644dc8
-118.321815700234,34.0561033996522,44,LDK Senior Apartments – Studios,900 Crenshaw Blvd.,Los Angeles,CA,90019,34.0561034,-118.3218157,acc75bc3-efa5-4253-99c0-b3acb5e9b5a9
-118.217902299651,34.0378922999897,45,Linda Vista Senior I,630 S. St. Louis St.,Los Angeles,CA,90023,34.0378923,-118.2179023,c7158220-a1b1-44e9-9ef5-2dd9c49131df
-118.452646299787,34.2154511001881,46,Montecito Terraces,14655 Blythe Street,Panorama City,CA,91402,34.2154511,-118.4526463,862149c9-ecb7-4c3f-b199-f314874a8687
-118.33131549981,33.9733674000855,47,Morgan Place,7301 Crenshaw Blvd,Los Angeles,CA,90043,33.9733674,-118.3313155,c49e01af-0a8f-47a6-9259-e57f1a2d349c
-118.606826199969,34.238017999631,48,Nantucket Creek,9225 Topanga Cyn Blvd,Chatsworth,CA,91311,34.238018,-118.6068262,5d987cef-e22d-4c73-b501-4eac36cd79e0
-118.375501999618,34.1707049999358,49,NoHo Senior Villas,5525 Klump Avenue,North Hollywood,CA,91601,34.170705,-118.375502,6c7d46cd-0ed3-44b7-8c2e-5e479311c262
-118.300568000113,33.9819434996928,50,Normandie Apartments,6301 S Normandie Ave,Los Angeles,CA,90044,33.9819435,-118.300568,0b18b862-0f89-443b-a371-2e9648b9324b
-118.436078300173,34.3091192999158,51,Olive Manor Senior Apartments,13115 Bromont Avenue,Sylmar,CA,91342,34.3091193,-118.4360783,6c0542f3-c052-458a-a5b3-8d47848daac5
