Sup Dist,Cost Code,Library Name,City,Zip Code,Square Footage,Year Built,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Collection Size,Address and Location,ObjectId
4,334,Lloyd Taber-Marina Del Rey,Marina Del Rey,90292,7443,1975,11-7,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,11-8,12-6,10-5,Closed,60093,"4533 Admiralty Way
Marina Del Rey
(33.9832, -118.443)",61
4,317,Lomita,Lomita,90717,8024,1976,Closed,2/6/2022 12:00:00 AM,2/6/2022 12:00:00 AM,2-6,2-6,11-3,Closed,20075,"24200 Narbonne Ave.
Lomita
(33.8052, -118.318)",62
4,634,Los Nietos,Whittier,90606,4331,1979,12-7,12/7/2022 12:00:00 AM,10/6/2022 12:00:00 AM,10-6,10-5,10-5,Closed,32754,"11644 E. Slauson Ave.
Whittier
(33.9646, -118.067)",63
4,318,Manhattan Beach,Manhattan Beach,90266,21500,2015,10-9,10/9/2022 12:00:00 AM,10/9/2022 12:00:00 AM,10-6,12-6,10-5,1-5,60811,"1320 Highland Ave.
Manhattan Beach
(33.887, -118.41)",64
4,501,Norwalk,Norwalk,90650,33749,1969,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-8,10-6,10-5,Closed,222315,"12350 Imperial Hwy.
Norwalk
(33.9153, -118.069)",65
4,511,Paramount,Paramount,90723,8750,1967,Closed,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-6,10-5,Closed,53381,"16254 Colorado Ave.
Paramount
(33.8858, -118.161)",66
4,817,Rowland Heights,Rowland Heights,91748,14863,1979,9-9,9/9/2022 12:00:00 AM,9/9/2022 12:00:00 AM,9-9,9-6,9-5,1-5,82242,"1850 Nogales St.
Rowland Heights
(33.9845, -117.888)",67
4,638,Sorensen,Whittier,90606,10655,2010,11-8,11/8/2022 12:00:00 AM,11/6/2022 12:00:00 AM,11-6,11-5,11-5,Closed,50924,"6934 Broadway Ave.
Whittier
(33.98, -118.062)",68
4,514,South Whittier,Whittier,90604,6526,1988,12-8,12/8/2022 12:00:00 AM,12/8/2022 12:00:00 AM,11-6,10-5,10-5,Closed,58085,"14433 Leffingwell Rd.
Whittier
(33.9242, -118.025)",69
5,105,Acton Agua Dulce,Acton,93510,11343,2010,10-8,10/8/2022 12:00:00 AM,10/6/2022 12:00:00 AM,10-6,10-5,10-5,Closed,50060,"33792 Crown Valley Road
Acton
(34.498, -118.198)",70
5,111,Castaic,Castaic,91384,12250,2008,10-8,10/8/2022 12:00:00 AM,12/6/2022 12:00:00 AM,12-6,12-5,10-5,Closed,51316,"27971 Sloan Canyon Road
Castaic
(34.4958, -118.627)",71
5,812,Charter Oak,Covina,91724,2500,1990,11-8,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,10-6,10-6,10-5,Closed,40824,"20540 ""K"" Arrow Highway
Covina
(34.1066, -117.854)",72
5,805,Duarte,Duarte,91010,10048,1966,11-8,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,11-8,11-6,11-6,Closed,60389,"1301 Buena Vista St.
Duarte
(34.1381, -117.978)",73
5,114,La Canada Flintridge,La Canada Flintridge,91011,16791,1971,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-5,10-5,Closed,70062,"4545 N. Oakwood Ave.
La Canada Flintridge
(34.2028, -118.194)",74
5,115,La Crescenta,La Crescenta,91214,15010,2010,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-5,10-5,1-5,72651,"2809 Foothill Blvd.
La Crescenta
(34.2246, -118.24)",75
5,807,La Verne,La Verne,91750,10347,1985,10-6,10/6/2022 12:00:00 AM,12/8/2022 12:00:00 AM,12-8,10-5,10-5,Closed,56279,"3640 D St.
La Verne
(34.1114, -117.764)",76
5,106,Lake Los Angeles,Palmdale,93591,4250,1991,11-7,11/7/2022 12:00:00 AM,10/6/2022 12:00:00 AM,10-6,10-6,10-5,Closed,36836,"16921 E. Avenue O, Suite A
Palmdale
(34.617, -117.828)",77
5,101,Lancaster,Lancaster,93534,48721,1996,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-5,10-5,11-5,1-5,212420,"601 W. Lancaster Blvd.
Lancaster
(34.6981, -118.14)",78
5,103,Littlerock,Littlerock,93543,3680,1998,11-7,11/7/2022 12:00:00 AM,10/5/2022 12:00:00 AM,10-5,10-5,10-5,Closed,37803,"35119 80th St. East
Littlerock
(34.52, -117.989)",79
5,831,Live Oak,Arcadia,91006,2891,1966,11-8,11/8/2022 12:00:00 AM,11/8/2022 12:00:00 AM,12-6,12-5,11-5,Closed,42082,"4153-55 E. Live Oak Ave.
Arcadia
(34.108, -118.028)",80
5,110,Quartz Hill,Quartz Hill,93536,3530,1959,10-5,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-5,10-5,10-5,Closed,40001,"42018 N. 50th St. West
Quartz Hill
(34.6462, -118.218)",81
5,808,San Dimas,San Dimas,91773,13628,1971,10-6,10/6/2022 12:00:00 AM,12/8/2022 12:00:00 AM,12-8,10-5,10-5,Closed,85350,"145 N. Walnut Ave.
San Dimas
(34.1082, -117.803)",82
5,625,San Gabriel,San Gabriel,91776,13718,1967,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,12-6,12-5,10-5,Closed,66178,"500 S. Del Mar Ave.
San Gabriel
(34.0956, -118.099)",83
5,126,Stevenson Ranch,Stevenson Ranch,91381,11551,2015,10-8,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,10-6,10-5,10-5,Closed,55234,"25950 The Old Rd.
Stevenson Ranch
(34.3932, -118.573)",84
5,628,Temple City,Temple City,91780,12182,1962,10-6,10/8/2022 12:00:00 AM,10/8/2022 12:00:00 AM,12-8,12-5,10-5,Closed,53462,"5939 Golden West Ave.
Temple City
(34.1084, -118.058)",85
