X,Y,OBJECTID,Business_Category,Business_Name,Address,City,Zip
-13132803.1303388,4026295.90702138,1446,Food Establishment,Seoul Collective Ent Inc.,3109 Colima Road,Hacienda Heights,91745
-13156234.7654371,4033664.96361989,1447,Food Establishment,Sergio Carmona,3801 E 1st Street,Los Angeles,90063
-13161676.5020515,4024408.90591814,1448,Food Establishment,Seven Fuel Corporation,2164 Nadeau Street,Los Angeles,90001
-13124833.6321579,4027908.42052274,1449,Food Establishment,SG400 LLC,1370 Fullerton Road,Rowland Heights,91748
-13174985.3950994,4020487.88801037,1450,Food Establishment,Shahpur Shah Family Inc,10801 Hawthorne Boulevard,Inglewood,90304
-13159237.5946082,4117774.3889172,1451,Food Establishment,Shamrock Liquor,4540 W Avenue L ,Lancaster,93536
-13163141.3619226,4018600.84249867,1452,Food Establishment,SHELL                         ,11913   COMPTON AVE.    ,Los Angeles,90059
-13157694.0080831,4094922.47679321,1453,Food Establishment,SHOAR OIL INC,33488 Crown Valley Road,Acton,93510
-13172149.6278405,4014689.20036344,1454,Food Establishment,Siawash Corporation,3121 Marine Avenue,Gardena,90249
-13169150.5578341,4021510.60532602,1455,Food Establishment,Sierra Foods Inc,1405 W Century Boulevard,Los Angeles,90044
-13129178.9863791,4040875.82331701,1456,Food Establishment,Sierra Foods Inc,15602 E San Bernardino Road,Covina,91722
-13119606.3029157,4043098.26919321,1457,Food Establishment,Sierra Foods Inc,20354 E Arrow Highway,Covina,91724
-13152151.4310165,4108016.76195579,1458,Food Establishment,Sierra Foods Inc,38821 10th Street,Palmdale,93551
-13143157.077749,4027755.09984919,1459,Food Establishment,Singh Estates Inc,10437 Whittier Boulevard,Whittier,90606
-13156577.2010014,4032749.9039099,1460,Food Establishment,"Siu Enterprises, LLC",535 S Rowan Avenue,Los Angeles,90063
-13125626.1215166,4025593.21201563,1461,Food Establishment,SKA INC,2410 Fullerton Road,Rowland Heights,91748
-13162106.8771821,4043459.72620993,1462,Food Establishment,skewerbrain LLC,3149 N Verdugo Road,Los Angeles,90065
-13153290.3114381,4031587.26100177,1463,Food Establishment,SKY IS LIMITED INC,5165 Whittier Boulevard,Los Angeles,90022
-13164103.119823,4017611.39933634,1464,Food Establishment,Smart & Final,1125 E El Segundo Boulevard,Los Angeles,90059
-13136855.542661,4020131.63202205,1465,Food Establishment,Smart & Final,15055 Mulberry Drive,Whittier,90604
-13224153.5662985,4049504.04687824,1466,Food Establishment,Smart & Final,5770 Lindero Canyon Road,Westlake Village,91362
-13224153.5662985,4049504.04687824,1467,Food Establishment,SMART & FINAL STORES LLC      ,5770   LINDERO CANYON RD  ,Westlake Village,91362
-13153275.000226,4031165.1172988,1468,Food Establishment,Smart Dollar and Up,1018 S Atlantic Boulevard,Los Angeles,90022
-13204937.6684106,4095670.84888644,1469,Food Establishment,"SOHOO, INC",27680 Lake Hughes Road,Castaic,91384
-13156173.9509696,4031367.77401995,1470,Food Establishment,Solanda Outlet Food,4169 E Olympic Boulevard,Los Angeles,90023
-13128198.956041,4027605.93119888,1471,Food Establishment,Sondh Investment Inc.,17175 Colima Road,Hacienda Heights,91745
-13163175.941494,4059623.78612364,1472,Food Establishment,Song & Hwang Inc.,3115 Foothill Boulevard,La Crescenta,91214
-13187795.4120076,4027631.07648893,1473,Food Establishment,Sonnyboy Hospitality LLC,1305 S Abbot Kinney Boulevard,Venice,90291
-13168219.0402783,4021233.56376061,1474,Food Establishment,Sophia's Market,10215 S Vermont Avenue,Los Angeles,90044
-13176546.0421852,4017556.43142681,1475,Food Establishment,"South West Petroleum, LLC",5038 W El Segundo Boulevard,Hawthorne,90250
-13160149.8319263,4113889.16910296,1476,Food Establishment,"Southern California Pizza Company, LLC",5037 W Avenue N ,Lancaster,93536
