X,Y,OBJECTID,U_ID,Name,POI_type,open_,closed,Descrip,parking,restrooms,picnicking,information,wi_fi,litter_receptacle,pet_access,bench,overlook,agency,drinking_water,sup_dist,created_by,created_date,edited_by,edited_date,poi_phase,wheelchair_accessible,trail_name
6393601.88868098,1838125.13618533,5678,865,Los Leones Day Use Trailhead at Los Liones Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Day Use
6393803.60316105,1838356.64708717,5679,866,Los Leones Day Use Trailhead at Paseo Miramar,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Day Use
6393457.97637836,1838244.89868607,5680,867,Los Leones Day Use Trailhead at Los Liones Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Day Use
6392722.97357323,1838943.84034392,5681,868,Topanga State Park Trailhead at Los Liones Dr,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Day Use
6392081.03361109,1840004.96311493,5682,869,Topanga State Park Trailhead at Los Liones Dr,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Day Use
6391985.38450059,1840062.58929735,5683,870,Los Leones Trailhead at Los Liones Dr,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Los Leones Trail
6339230.54295367,1877647.82512285,5684,871,Liberty Canyon Open Space Trailhead at Chesebro Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lower Cheeseboro Canyon Trail
6365407.06882396,1857561.09730392,5685,872,Lower Stunt High Trailhead at Cold Creek Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lower Stunt High Trail
6363118.58458041,1856054.14345705,5686,873,Lower Stunt High Trailhead at Stunt Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Lower Stunt High Trail
6334517.66474683,1864018.32053863,5687,874,Malibu Creek State Park Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Malibu Lake Vista Trail
6283619.26055714,1854133.20844312,5688,875,Malibu Springs Trailhead at Mulholland Hwy,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Malibu Springs Trail
6287604.50272333,1850345.5563739,5689,876,Leo Carrillo State Park Trailhead at Decker School Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Malibu Springs Trail
6332750.52282227,1865844.65706602,5690,877,Paramount Ranch Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Marco Polo Trail
6362585.75130761,1859913.16518686,5691,878,Meadow Trailhead at Stunt Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Meadow Trail
6334187.67670808,1864376.24141321,5692,879,Medea Creek Trailhead at Mulholland Hwy,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Medea Creek Trail
6332591.43688499,1865955.50227682,5693,880,Paramount Ranch Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Racetrack Turn 7
6332872.9262752,1852013.52455238,5694,881,Mesa Peak Motorway Trailhead at Castro Mtwy,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Mesa Peak Motorway
6354260.07663963,1853342.21370532,5695,882,Monte Nido Connector Trailhead at Wonder View Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Monte Nido Connector
6349724.68448395,1880481.71621067,5696,883,Morrison Ranch Trailhead at Las Virgenes Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Morrison Ranch Trail
6381877.0239714,1875182.45876633,5697,884,Mulholland Drive Trailhead at Mulholland Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Mulholland Drive
6409775.60005332,1870336.1880758,5698,885,Westridge-Canyonback Wilderness Park Trailhead at Encino Hills Dr,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Mulholland Drive
6383354.13616796,1860726.01577742,5699,886,Musch Camp Access Road Trailhead,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Musch Camp Access Road
6383807.48644727,1856962.98906196,5700,887,Topanga State Park Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Backbone Trail - Musch Trail
6383836.23443581,1856953.07551013,5701,888,Topanga State Park Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Nature Trail
6322899.42422025,1851581.31129088,5702,889,Castro Crest Trailhead,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Newton Motorway (Cessna Drive)
6287144.67579834,1849317.49375022,5703,890,Leo Carrillo State Park Trailhead at Nicolas Ridge Mtwy,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Nicholas Ranch Road
6344576.24551527,1858076.4523275,5704,891,Malibu Creek State Park Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Crags Road
6319538.88960564,1871100.9028323,5705,892,Pentachaeta Trailhead at Triunfo Canyon Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pentachaeta Trail
6313062.73302918,1871188.23158642,5706,893,Truinfo Creek Park Trailhead at Triunfo Canyon Rd,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Pentachaeta Trail
6325715.18777869,1864421.46697177,5707,894,Peter Strauss Ranch Trailhead,Trailhead,yes,no,,yes,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Peter Strauss Ranch Loop Trail
6325846.97609642,1864184.14246548,5708,895,Peter Strauss Ranch Trailhead at Mulholland Hwy,Trailhead,yes,no,,no,no,no,no,,no,,no,no,NPS,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Peter Strauss Ranch Loop Trail
6339992.7848232,1861817.45123772,5709,896,Phantom Trailhead at Mulholland Hwy,Trailhead,yes,no,,no,no,no,no,,no,,no,no,CASP,no,District 3,DPR_Admin,2022/01/11 17:59:27.987+00,DPR_Admin,2022/01/11 17:59:27.987+00,Existing,,Phantom Trail
